[2024-09-08T17:15:20.976346] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:15:21.019835] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:15:21.027446] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:15:21.029308] syslog-ng starting up; version='3.36.1'
[2024-09-08T17:15:21.462471] Error running SQL query; dbname='/var/lib/diskutil/system', error='1: index logs_time_idx already exists', query='CREATE INDEX logs_time_idx ON logs (time)'
[2024-09-08T17:15:21.462501] Error adding missing index; table='logs', column='time'
[2024-09-08T17:15:21.462530] Error checking table, disconnecting from database, trying again shortly; time_reopen='10'
[2024-09-08T17:15:21.462543] Error occurred while trying to send a message, trying again; driver='d_diskutil_system#0', location='#buffer:4:2', worker_index='0', retries='1', time_reopen='10', batch_size='1'
[2024-09-08T17:15:21.477679] Error running SQL query; dbname='/var/log/synolog/.SYNOSYSDB', error='1: index logs_time_idx already exists', query='CREATE INDEX logs_time_idx ON logs (time)'
[2024-09-08T17:15:21.477707] Error adding missing index; table='logs', column='time'
[2024-09-08T17:15:21.477729] Error checking table, disconnecting from database, trying again shortly; time_reopen='10'
[2024-09-08T17:15:21.477738] Error occurred while trying to send a message, trying again; driver='d_synosys#0', location='#buffer:4:2', worker_index='0', retries='1', time_reopen='10', batch_size='1'
[2024-09-08T17:16:49.311267] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:16:49.388865] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:16:49.388969] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:16:49.391703] Configuration reload request received, reloading configuration;
[2024-09-08T17:16:49.391734] Configuration reload finished;
[2024-09-08T17:16:50.735937] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:16:50.767585] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:16:50.767665] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:16:50.767820] Connection failed; fd='25', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)', error='No such file or directory (2)'
[2024-09-08T17:16:50.767829] Initiating connection failed, reconnecting; time_reopen='10'
[2024-09-08T17:16:50.770595] Configuration reload request received, reloading configuration;
[2024-09-08T17:16:50.770616] Configuration reload finished;
[2024-09-08T17:16:55.931762] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:16:56.007499] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:16:56.007575] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-08T17:16:56.007670] Syslog connection established; fd='24', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)'
[2024-09-08T17:16:56.012023] Configuration reload request received, reloading configuration;
[2024-09-08T17:16:56.012056] Configuration reload finished;
[2024-09-08T17:16:58.692032] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-08T17:16:58.778739] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-08T17:16:58.778845] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
